found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out
number of parameters: 10.65M
Applying LoRA (PEFT)...
trainable params before lora: 10696704
trainable params after lora: 18432
/Users/rabiaciftci/Desktop/NLP/A.NLP./nanogpt-lora/nanoGPT/train.py:240: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_cuda)
num decayed parameter tensors: 12, with 18,432 parameters
num non-decayed parameter tensors: 0, with 0 parameters
using fused AdamW: False
[CSV] logged step 1000 for A_r2
step 1000: train loss 3.7962, val loss 3.7426
saving checkpoint to out
iter 1000: loss 3.7613, time 1453.32ms, mfu -100.00%
iter 1010: loss 3.5400, time 137.49ms, mfu 0.64%
iter 1020: loss 2.8350, time 138.61ms, mfu 0.64%
iter 1030: loss 2.5013, time 137.40ms, mfu 0.64%
iter 1040: loss 2.3414, time 138.57ms, mfu 0.64%
iter 1050: loss 2.1131, time 139.21ms, mfu 0.64%
iter 1060: loss 1.9416, time 138.01ms, mfu 0.64%
iter 1070: loss 1.6865, time 137.92ms, mfu 0.64%
iter 1080: loss 1.5822, time 138.11ms, mfu 0.64%
iter 1090: loss 1.4781, time 138.22ms, mfu 0.64%
iter 1100: loss 1.3372, time 138.22ms, mfu 0.64%
iter 1110: loss 1.3541, time 138.21ms, mfu 0.64%
iter 1120: loss 1.1733, time 138.27ms, mfu 0.64%
iter 1130: loss 1.3836, time 138.40ms, mfu 0.64%
iter 1140: loss 1.1824, time 137.83ms, mfu 0.64%
iter 1150: loss 1.1541, time 138.80ms, mfu 0.64%
iter 1160: loss 1.0192, time 138.70ms, mfu 0.64%
iter 1170: loss 1.0999, time 138.81ms, mfu 0.64%
iter 1180: loss 1.0631, time 138.65ms, mfu 0.64%
iter 1190: loss 0.9575, time 138.68ms, mfu 0.64%
[CSV] logged step 1200 for A_r2
step 1200: train loss 1.0290, val loss 1.0671
saving checkpoint to out
iter 1200: loss 0.9991, time 1005.21ms, mfu 0.59%
iter 1210: loss 1.1091, time 139.57ms, mfu 0.59%
iter 1220: loss 1.0361, time 138.43ms, mfu 0.60%
iter 1230: loss 0.9291, time 138.68ms, mfu 0.60%
iter 1240: loss 0.9780, time 138.79ms, mfu 0.60%
iter 1250: loss 0.9328, time 138.56ms, mfu 0.61%
iter 1260: loss 0.9159, time 138.93ms, mfu 0.61%
iter 1270: loss 1.0324, time 139.58ms, mfu 0.61%
iter 1280: loss 0.8339, time 140.13ms, mfu 0.62%
iter 1290: loss 0.8250, time 139.13ms, mfu 0.62%
iter 1300: loss 1.1230, time 146.11ms, mfu 0.62%
iter 1310: loss 1.0937, time 139.51ms, mfu 0.62%
iter 1320: loss 0.8713, time 138.90ms, mfu 0.62%
iter 1330: loss 1.0700, time 139.36ms, mfu 0.62%
iter 1340: loss 0.8492, time 141.98ms, mfu 0.62%
iter 1350: loss 0.8390, time 139.60ms, mfu 0.62%
iter 1360: loss 0.9656, time 139.98ms, mfu 0.62%
iter 1370: loss 1.0355, time 139.38ms, mfu 0.63%
iter 1380: loss 0.9221, time 138.92ms, mfu 0.63%
iter 1390: loss 0.9030, time 139.65ms, mfu 0.63%
[CSV] logged step 1400 for A_r2
step 1400: train loss 0.9266, val loss 0.9434
saving checkpoint to out
iter 1400: loss 0.8106, time 1030.58ms, mfu 0.57%
iter 1410: loss 0.9028, time 139.82ms, mfu 0.58%
iter 1420: loss 0.8293, time 140.17ms, mfu 0.58%
iter 1430: loss 0.8298, time 140.33ms, mfu 0.59%
iter 1440: loss 0.8545, time 140.22ms, mfu 0.59%
iter 1450: loss 0.8928, time 139.33ms, mfu 0.60%
iter 1460: loss 0.9974, time 140.41ms, mfu 0.60%
iter 1470: loss 0.9756, time 139.89ms, mfu 0.60%
iter 1480: loss 0.9522, time 140.30ms, mfu 0.61%
iter 1490: loss 0.9406, time 140.31ms, mfu 0.61%
iter 1500: loss 0.9591, time 140.71ms, mfu 0.61%
iter 1510: loss 1.0124, time 139.73ms, mfu 0.61%
iter 1520: loss 0.8987, time 140.85ms, mfu 0.62%
iter 1530: loss 0.9829, time 140.67ms, mfu 0.62%
iter 1540: loss 0.9514, time 140.33ms, mfu 0.62%
iter 1550: loss 0.9166, time 140.41ms, mfu 0.62%
iter 1560: loss 0.8461, time 140.34ms, mfu 0.62%
iter 1570: loss 0.7685, time 140.49ms, mfu 0.62%
iter 1580: loss 0.9843, time 140.42ms, mfu 0.62%
iter 1590: loss 0.7413, time 140.41ms, mfu 0.62%
[CSV] logged step 1600 for A_r2
step 1600: train loss 0.8959, val loss 0.9412
saving checkpoint to out
iter 1600: loss 0.9296, time 1061.26ms, mfu 0.57%
