found vocab_size = 67 (inside data/shakespeare_char_sft_B/meta.pkl)
Resuming training from out
number of parameters: 10.65M
Applying LoRA (PEFT)...
trainable params before lora: 10696704
trainable params after lora: 36864
/Users/rabiaciftci/Desktop/NLP/A.NLP./nanogpt-lora/nanoGPT/train.py:240: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_cuda)
num decayed parameter tensors: 12, with 36,864 parameters
num non-decayed parameter tensors: 0, with 0 parameters
using fused AdamW: False
[CSV] logged step 1000 for B
step 1000: train loss 3.1728, val loss 3.1852
saving checkpoint to out
iter 1000: loss 3.5204, time 1291.64ms, mfu -100.00%
iter 1010: loss 3.0930, time 139.38ms, mfu 0.64%
iter 1020: loss 2.5496, time 138.35ms, mfu 0.64%
iter 1030: loss 2.5263, time 139.39ms, mfu 0.64%
iter 1040: loss 1.9629, time 138.70ms, mfu 0.64%
iter 1050: loss 2.3165, time 138.73ms, mfu 0.64%
iter 1060: loss 1.9120, time 139.40ms, mfu 0.64%
iter 1070: loss 1.7914, time 140.30ms, mfu 0.64%
iter 1080: loss 1.6775, time 138.98ms, mfu 0.64%
iter 1090: loss 1.7321, time 139.62ms, mfu 0.64%
iter 1100: loss 1.5471, time 140.07ms, mfu 0.64%
iter 1110: loss 1.6477, time 141.42ms, mfu 0.64%
iter 1120: loss 1.5777, time 139.60ms, mfu 0.64%
iter 1130: loss 1.4874, time 140.78ms, mfu 0.64%
iter 1140: loss 1.6174, time 139.49ms, mfu 0.64%
iter 1150: loss 1.4487, time 139.38ms, mfu 0.64%
iter 1160: loss 1.6180, time 139.09ms, mfu 0.64%
iter 1170: loss 1.4491, time 139.34ms, mfu 0.64%
iter 1180: loss 1.3624, time 139.32ms, mfu 0.64%
iter 1190: loss 1.3895, time 139.38ms, mfu 0.64%
[CSV] logged step 1200 for B
step 1200: train loss 1.3912, val loss 1.3947
saving checkpoint to out
iter 1200: loss 1.2765, time 1015.79ms, mfu 0.58%
iter 1210: loss 1.2761, time 139.96ms, mfu 0.59%
iter 1220: loss 1.2211, time 139.93ms, mfu 0.59%
iter 1230: loss 1.3867, time 140.27ms, mfu 0.60%
iter 1240: loss 1.2545, time 140.48ms, mfu 0.60%
iter 1250: loss 1.5535, time 139.84ms, mfu 0.60%
iter 1260: loss 1.3493, time 139.71ms, mfu 0.61%
iter 1270: loss 1.2985, time 140.83ms, mfu 0.61%
iter 1280: loss 1.3014, time 140.21ms, mfu 0.61%
iter 1290: loss 1.5403, time 139.69ms, mfu 0.61%
iter 1300: loss 1.3961, time 140.28ms, mfu 0.62%
iter 1310: loss 1.3614, time 140.50ms, mfu 0.62%
iter 1320: loss 1.1890, time 140.56ms, mfu 0.62%
iter 1330: loss 1.3277, time 140.06ms, mfu 0.62%
iter 1340: loss 1.3650, time 140.29ms, mfu 0.62%
iter 1350: loss 1.2553, time 140.18ms, mfu 0.62%
iter 1360: loss 1.3261, time 140.70ms, mfu 0.62%
iter 1370: loss 1.1388, time 140.65ms, mfu 0.62%
iter 1380: loss 1.4847, time 139.97ms, mfu 0.63%
iter 1390: loss 1.2802, time 140.48ms, mfu 0.63%
[CSV] logged step 1400 for B
step 1400: train loss 1.2833, val loss 1.3108
saving checkpoint to out
iter 1400: loss 1.4532, time 1028.61ms, mfu 0.57%
iter 1410: loss 1.1048, time 141.04ms, mfu 0.58%
iter 1420: loss 1.3074, time 140.33ms, mfu 0.58%
iter 1430: loss 1.3647, time 139.97ms, mfu 0.59%
iter 1440: loss 1.4941, time 140.03ms, mfu 0.59%
iter 1450: loss 1.2963, time 139.34ms, mfu 0.60%
iter 1460: loss 1.2065, time 140.28ms, mfu 0.60%
iter 1470: loss 1.5574, time 139.67ms, mfu 0.60%
iter 1480: loss 1.2935, time 140.11ms, mfu 0.61%
iter 1490: loss 1.2145, time 140.44ms, mfu 0.61%
iter 1500: loss 1.2266, time 140.55ms, mfu 0.61%
iter 1510: loss 1.1893, time 140.91ms, mfu 0.61%
iter 1520: loss 1.2137, time 140.73ms, mfu 0.62%
iter 1530: loss 1.2768, time 141.27ms, mfu 0.62%
iter 1540: loss 1.2179, time 141.51ms, mfu 0.62%
iter 1550: loss 1.2301, time 140.54ms, mfu 0.62%
iter 1560: loss 1.3251, time 140.31ms, mfu 0.62%
iter 1570: loss 1.2798, time 140.60ms, mfu 0.62%
iter 1580: loss 1.3170, time 140.52ms, mfu 0.62%
iter 1590: loss 1.2172, time 140.45ms, mfu 0.62%
[CSV] logged step 1600 for B
step 1600: train loss 1.2912, val loss 1.2784
saving checkpoint to out
iter 1600: loss 1.1513, time 1034.92ms, mfu 0.57%
