Overriding config with config/finetune_shakespeare_sft_A.py:
import time

init_from = 'resume'        
out_dir = 'out-shakespeare-sft_A'  
dataset = 'shakespeare_char_sft_A'  



eval_interval = 5
eval_iters = 40
wandb_log = False # feel free to turn on
wandb_project = 'shakespeare'
wandb_run_name = 'ft-' + str(time.time())

# only save checkpoints if the validation loss improves
always_save_checkpoint = False
block_size = 128


# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# shakespeare has 301,966 tokens, so 1 epoch ~= 9.2 iters
batch_size = 1
gradient_accumulation_steps = 32
# max_iters = 20

# finetune at constant LR
# learning_rate = 3e-5
decay_lr = False
compile = False

max_iters = 2000            
learning_rate = 1e-4
device = "mps"

block_size = 128 # from pretraining
tokens per iteration will be: 4,096
found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out-shakespeare-sft_A
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,691,712 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 1010: train loss 1.5198, val loss 1.5577
saving checkpoint to out-shakespeare-sft_A
iter 1010: loss 1.6215, time 2902.12ms, mfu -100.00%
iter 1011: loss 1.5188, time 478.63ms, mfu -100.00%
iter 1012: loss 1.2183, time 468.98ms, mfu -100.00%
iter 1013: loss 1.1718, time 472.74ms, mfu -100.00%
iter 1014: loss 1.0878, time 468.48ms, mfu -100.00%
step 1015: train loss 1.1829, val loss 1.1769
saving checkpoint to out-shakespeare-sft_A
iter 1015: loss 1.3022, time 1070.79ms, mfu 0.08%
iter 1016: loss 1.3409, time 471.05ms, mfu 0.09%
iter 1017: loss 1.2467, time 481.40ms, mfu 0.10%
iter 1018: loss 1.0363, time 471.47ms, mfu 0.11%
iter 1019: loss 0.9341, time 469.23ms, mfu 0.12%
step 1020: train loss 1.0460, val loss 1.0669
saving checkpoint to out-shakespeare-sft_A
iter 1020: loss 1.1168, time 1233.21ms, mfu 0.11%
iter 1021: loss 0.9503, time 468.81ms, mfu 0.12%
iter 1022: loss 0.9239, time 484.58ms, mfu 0.13%
iter 1023: loss 0.9386, time 473.35ms, mfu 0.13%
iter 1024: loss 0.8442, time 468.38ms, mfu 0.14%
step 1025: train loss 0.9420, val loss 0.9310
saving checkpoint to out-shakespeare-sft_A
iter 1025: loss 1.3887, time 1114.19ms, mfu 0.13%
iter 1026: loss 0.8947, time 474.89ms, mfu 0.14%
iter 1027: loss 0.8631, time 473.32ms, mfu 0.14%
iter 1028: loss 0.9367, time 471.53ms, mfu 0.15%
iter 1029: loss 0.8396, time 469.25ms, mfu 0.15%
step 1030: train loss 0.9444, val loss 0.9229
saving checkpoint to out-shakespeare-sft_A
iter 1030: loss 0.8067, time 1067.01ms, mfu 0.14%
iter 1031: loss 0.7486, time 484.25ms, mfu 0.15%
iter 1032: loss 0.8876, time 533.44ms, mfu 0.15%
iter 1033: loss 1.0005, time 475.74ms, mfu 0.15%
iter 1034: loss 0.7645, time 492.70ms, mfu 0.16%
step 1035: train loss 0.8350, val loss 0.8536
saving checkpoint to out-shakespeare-sft_A
iter 1035: loss 1.1932, time 1213.24ms, mfu 0.15%
iter 1036: loss 0.9465, time 487.39ms, mfu 0.15%
iter 1037: loss 0.9771, time 496.81ms, mfu 0.15%
iter 1038: loss 0.8765, time 495.53ms, mfu 0.16%
iter 1039: loss 0.8293, time 484.34ms, mfu 0.16%
step 1040: train loss 0.8221, val loss 0.8915
iter 1040: loss 0.5477, time 1047.60ms, mfu 0.15%
iter 1041: loss 0.8395, time 468.86ms, mfu 0.16%
iter 1042: loss 1.1464, time 487.57ms, mfu 0.16%
iter 1043: loss 0.9085, time 475.63ms, mfu 0.16%
iter 1044: loss 0.9197, time 473.71ms, mfu 0.16%
step 1045: train loss 0.8102, val loss 0.8713
iter 1045: loss 0.6842, time 935.25ms, mfu 0.16%
iter 1046: loss 0.9261, time 466.27ms, mfu 0.16%
iter 1047: loss 0.9442, time 468.89ms, mfu 0.16%
iter 1048: loss 1.2652, time 548.10ms, mfu 0.16%
iter 1049: loss 0.6731, time 474.94ms, mfu 0.17%
step 1050: train loss 0.8264, val loss 0.8530
saving checkpoint to out-shakespeare-sft_A
iter 1050: loss 0.7236, time 1433.16ms, mfu 0.15%
iter 1051: loss 0.8746, time 474.16ms, mfu 0.16%
iter 1052: loss 0.8946, time 470.27ms, mfu 0.16%
iter 1053: loss 0.8857, time 481.95ms, mfu 0.16%
iter 1054: loss 0.6728, time 526.59ms, mfu 0.16%
step 1055: train loss 0.8503, val loss 0.8660
iter 1055: loss 0.8780, time 1341.24ms, mfu 0.15%
iter 1056: loss 0.4974, time 502.87ms, mfu 0.16%
iter 1057: loss 0.8037, time 477.14ms, mfu 0.16%
iter 1058: loss 0.7327, time 476.20ms, mfu 0.16%
iter 1059: loss 0.7079, time 479.53ms, mfu 0.16%
step 1060: train loss 0.7943, val loss 0.8420
