task,step,train_loss,val_loss,trainable_params
A+B,1000,3.321185827255249,3.2154767513275146,36864
A+B,1200,1.388742208480835,1.4189202785491943,36864
A+B,1400,1.3009952306747437,1.3029931783676147,36864
A+B,1600,1.2851972579956055,1.2867244482040405,36864
A+B,1800,1.2567256689071655,1.264543056488037,36864
A+B,2000,1.2486759424209595,1.2360984086990356,36864
A+B,2200,1.238789439201355,1.255692481994629,36864
A+B,2400,1.2616238594055176,1.2291514873504639,36864
A+B,2600,1.2269601821899414,1.2259901762008667,36864
A+B,2800,1.2397106885910034,1.2228896617889404,36864
A+B,3000,1.2308239936828613,1.1989622116088867,36864
