Overriding config with config/finetune_shakespeare_sft_A.py:
import time

init_from = 'resume'        
out_dir = 'out-shakespeare-sft_A'  
dataset = 'shakespeare_char_sft_A'  



eval_interval = 5
eval_iters = 40
wandb_log = False # feel free to turn on
wandb_project = 'shakespeare'
wandb_run_name = 'ft-' + str(time.time())

# only save checkpoints if the validation loss improves
always_save_checkpoint = False
block_size = 128


# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# shakespeare has 301,966 tokens, so 1 epoch ~= 9.2 iters
batch_size = 1
gradient_accumulation_steps = 32
# max_iters = 20

# finetune at constant LR
# learning_rate = 3e-5
decay_lr = False
compile = False

max_iters = 3000            
learning_rate = 1e-4
device = "mps"

block_size = 128 # from pretraining
tokens per iteration will be: 4,096
found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out-shakespeare-sft_A
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,691,712 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 1095: train loss 0.7913, val loss 0.9258
iter 1095: loss 1.0190, time 1600.47ms, mfu -100.00%
iter 1096: loss 0.9205, time 462.16ms, mfu -100.00%
iter 1097: loss 0.7051, time 457.14ms, mfu -100.00%
iter 1098: loss 0.6924, time 456.72ms, mfu -100.00%
iter 1099: loss 0.6739, time 460.64ms, mfu -100.00%
step 1100: train loss 0.7915, val loss 0.8732
iter 1100: loss 1.0289, time 841.82ms, mfu 0.11%
iter 1101: loss 0.9299, time 456.02ms, mfu 0.11%
iter 1102: loss 0.9495, time 457.56ms, mfu 0.12%
iter 1103: loss 0.8085, time 457.76ms, mfu 0.13%
iter 1104: loss 0.6761, time 457.85ms, mfu 0.14%
step 1105: train loss 0.8244, val loss 0.9014
iter 1105: loss 0.7248, time 901.85ms, mfu 0.13%
iter 1106: loss 0.8074, time 462.02ms, mfu 0.14%
iter 1107: loss 0.7527, time 457.68ms, mfu 0.14%
iter 1108: loss 0.8090, time 457.50ms, mfu 0.15%
iter 1109: loss 0.7228, time 458.30ms, mfu 0.15%
step 1110: train loss 0.7956, val loss 0.8290
iter 1110: loss 1.2069, time 857.26ms, mfu 0.15%
iter 1111: loss 0.7633, time 458.90ms, mfu 0.15%
iter 1112: loss 0.7362, time 464.29ms, mfu 0.16%
iter 1113: loss 0.7460, time 456.98ms, mfu 0.16%
iter 1114: loss 0.7473, time 457.66ms, mfu 0.16%
step 1115: train loss 0.8217, val loss 0.8700
iter 1115: loss 0.7123, time 854.61ms, mfu 0.16%
iter 1116: loss 0.6615, time 461.70ms, mfu 0.16%
iter 1117: loss 0.6991, time 457.09ms, mfu 0.16%
iter 1118: loss 0.8930, time 457.78ms, mfu 0.17%
iter 1119: loss 0.6907, time 461.83ms, mfu 0.17%
step 1120: train loss 0.7427, val loss 0.8033
saving checkpoint to out-shakespeare-sft_A
iter 1120: loss 0.9428, time 1111.57ms, mfu 0.16%
iter 1121: loss 0.8927, time 465.05ms, mfu 0.16%
iter 1122: loss 0.8839, time 457.47ms, mfu 0.17%
iter 1123: loss 0.7884, time 458.83ms, mfu 0.17%
iter 1124: loss 0.7757, time 461.30ms, mfu 0.17%
step 1125: train loss 0.7424, val loss 0.8541
iter 1125: loss 0.4762, time 844.31ms, mfu 0.16%
iter 1126: loss 0.7680, time 456.16ms, mfu 0.17%
iter 1127: loss 1.0602, time 460.48ms, mfu 0.17%
iter 1128: loss 0.8043, time 456.51ms, mfu 0.17%
iter 1129: loss 0.8535, time 457.17ms, mfu 0.17%
step 1130: train loss 0.7341, val loss 0.8461
iter 1130: loss 0.6542, time 850.68ms, mfu 0.17%
iter 1131: loss 0.8102, time 456.92ms, mfu 0.17%
iter 1132: loss 0.8162, time 460.56ms, mfu 0.17%
iter 1133: loss 1.1552, time 459.28ms, mfu 0.17%
iter 1134: loss 0.5774, time 459.28ms, mfu 0.18%
step 1135: train loss 0.7578, val loss 0.8294
iter 1135: loss 0.7048, time 889.81ms, mfu 0.17%
iter 1136: loss 0.7703, time 460.26ms, mfu 0.17%
iter 1137: loss 0.8316, time 459.25ms, mfu 0.17%
iter 1138: loss 0.7546, time 457.35ms, mfu 0.18%
iter 1139: loss 0.5687, time 456.10ms, mfu 0.18%
step 1140: train loss 0.7859, val loss 0.8576
iter 1140: loss 0.8077, time 855.31ms, mfu 0.17%
iter 1141: loss 0.4577, time 459.46ms, mfu 0.17%
iter 1142: loss 0.7667, time 462.44ms, mfu 0.17%
iter 1143: loss 0.6744, time 459.71ms, mfu 0.18%
iter 1144: loss 0.6482, time 459.16ms, mfu 0.18%
step 1145: train loss 0.7346, val loss 0.8248
iter 1145: loss 0.6727, time 862.52ms, mfu 0.17%
iter 1146: loss 0.6919, time 459.04ms, mfu 0.17%
iter 1147: loss 0.8150, time 459.67ms, mfu 0.17%
iter 1148: loss 0.7428, time 459.42ms, mfu 0.18%
